,No.,CAS,Name,D,P,H,Mole_vol,bp,mw,viscosity,vis_temp,heat_of_vap,hov_temp,SMILES,synonyms,ims_idx,alias,Note,OH
41,152,67-56-1,Methanol,15.1,12.3,22.3,40.7,64.7,32.042,0.544,25.0,37.34,25.0,CO,carbinol;methyl alcohol;wood alcohol,47;136;139;240;190,,,True
42,153,90-05-1,o-Methoxyphenol,18.0,8.2,13.3,109.5,203.0,124.14,-1.0,-1.0,-1.0,-1.0,COC1=CC=CC=C1O,2-Methoxyphenol;guaiacol;2-Hydroxyanisole,243,,,True
43,165,108-11-2,Methyl isobutyl carbinol,15.4,3.3,12.3,127.2,133.0,102.17,-1.0,-1.0,-1.0,-1.0,CC(C)CC(C)O,4-Methylpentan-2-ol;Isobutylmethylcarbinol;4-METHYL-2-PENTANOL,243,,,True
44,170,000-78-83-1,2-Methyl-1-propanol(repeated),15.1,5.7,15.9,92.8,108.0,74.12,4.0,20.0,45.76,-1.0,CC(C)CO,Isobutanol;2-Methylpropan-1-ol;2-Methyl-1-propanol,,,,True
45,172,119-36-8,Methyl salicylate,18.1,8.0,13.9,129.6,220.0,152.15,-1.0,-1.0,46.7,220.0,COC(=O)C1=CC=CC=C1O,Methyl 2-hydroxybenzoate;Wintergreen oil;Gaultheria oil,243,,,True
46,182,104-40-5,Nonyl phenol,16.5,4.1,9.2,231.0,317.0,220.35,563.0,20.0,-1.0,-1.0,CCCCCCCCCC1=CC=C(C=C1)O,4-n-Nonylphenol;p-Nonylphenol;4-nonylphenol,243,,,True
47,183,27986-36-3,Nonyl phenoxy ethanol,16.7,10.2,8.4,275.0,-1.0,264.4,-1.0,-1.0,-1.0,-1.0,CCCCCCCCCC1=CC=CC=C1OCCO,2-(2-nonylphenoxy)ethanol,,,,True
48,185,124-07-2,Octanoic acid,15.1,3.3,8.2,159.0,239.0,144.21,5.74,-1.0,-1.0,-1.0,CCCCCCCC(=O)O,caprylic acid;n-octanoic acid;Octylic acid,243,,,True
49,186,111-87-5,1-Octanol,16.0,5.0,11.9,157.7,194.7,130.23,7.288,25.0,70.98,25.0,CCCCCCCCO,octanol;N-octanol,243;135,,,True
50,187,123-96-6,2-Octanol,16.1,4.9,11.0,159.1,179.0,130.23,-1.0,-1.0,44.4,179.3,CCCCCCC(C)O,Octan-2-ol;Hexylmethylcarbinol,243,,,True
51,188,112-80-1,Oleic acid,16.0,28.0,6.2,317.0,286.0,282.5,25.6,30.0,67.298,286.0,CCCCCCCCC=CCCCCCCCC(=O)O,oleate;(Z)-Octadec-9-enoic acid;cis-9-Octadecenoic acid,243,,,True
52,189,143-28-2,Oleyl alcohol,16.0,2.6,8.0,316.0,305.0,268.5,-1.0,-1.0,-1.0,-1.0,CCCCCCCCC=CCCCCCCCCO,Ocenol;cis-9-Octadecen-1-ol;(Z)-octadec-9-en-1-ol,243;40,,,True
53,192,71-41-0,1-Pentanol,15.9,5.9,13.9,108.6,137.5,88.15,4.07,20.0,44.83,-1.0,CCCCCO,Amyl alcohol;N-Amyl alcohol,,,,True
54,196,108-95-2,Phenol,18.0,5.9,14.9,87.5,182.0,94.11,3.437,50.0,57.82,25.0,C1=CC=C(C=C1)O,carbolic acid;Phenic acid;Hydroxybenzene,,,,True
55,198,71-23-8,1-Propanol,16.0,6.8,17.4,75.2,97.2,60.1,2.2560000000000002,20.0,47.45,20.0,CCCO,n-propanol;Propyl alcohol,,,,True
56,199,67-63-0,2-Propanol,15.8,6.1,16.4,76.8,82.3,60.1,2.038,25.0,45.39,25.0,CC(C)O,Propan-2-ol;isopropanol,,IPA,,True
57,204,57-55-6,Propylene glycol,16.8,9.4,23.3,73.6,187.6,76.09,0.581,20.0,53.62,187.6,CC(CO)O,"propane-1,2-diol;1,2-propanediol",125,,,True
58,205,9003-13-8,Propylene glycol monobutyl ether,15.3,4.5,9.2,132.0,230.0,190.28,19.46,20.0,-1.0,-1.0,CCCCOCC(C)OCC(C)O,"2-Propanol, 1-(2-butoxy-1-methylethoxy)-;1-(2-Butoxy-1-methylethoxy)propan-2-ol;1-((1-Butoxypropan-2-yl)oxy)propan-2-ol",243,,,True
59,206,1569-02-4,Propylene glycol monoethyl ether,15.7,6.5,10.5,115.6,133.0,104.15,2.08,20.0,-1.0,-1.0,CCOCC(C)O,1-Ethoxy-2-propanol;1-Ethoxypropan-2-ol,,,,True
60,207,23436-19-3,Propylene glycol monoisobutyl ether,15.1,4.7,9.8,132.2,-1.0,132.2,-1.0,-1.0,-1.0,-1.0,CC(C)COCC(C)O,1-Isobutoxypropan-2-ol;1-(2-methylpropoxy)propan-2-ol;Dowanol pib-T,,,,True
61,208,107-98-2,Propylene glycol monomethyl ether,15.6,6.3,11.6,93.8,120.0,90.12,1.81,20.0,46.2,20.0,CC(COC)O,1-Methoxypropan-2-ol;1-Methoxy-2-propanol;Methoxyisopropanol,,PGME,,True
62,209,122-99-6,Propylene glycol monophenyl ether,17.4,5.3,11.5,143.2,245.2,138.16,20.91,25.0,-1.0,-1.0,C1=CC=C(C=C1)OCCO,2-PHENOXYETHANOL;Phenyl cellosolve,,,,True
63,210,1569-01-3,Propylene glycol monopropyl ether,15.8,7.0,9.2,130.3,150.2,118.17,-1.0,-1.0,-1.0,-1.0,CCCOCC(C)O,1-Propoxypropan-2-ol;PROPASOL Solvent P,,,,True
64,214,57-11-4,Stearic acid,16.3,3.3,5.5,326.0,383.0,284.5,9.87,70.0,-1.0,-1.0,CCCCCCCCCCCCCCCCCC(=O)O,Octadecanoic acid;Stearophanic acid,243;103;13,,,True
65,232,112-70-9,Tridecyl alcohol,16.2,3.1,9.0,242.0,273.0,200.36,-1.0,-1.0,53.6,-1.0,CCCCCCCCCCCCCO,Tridecanol;Tridecan-1-ol,243,,,True
66,233,102-71-6,Triethanolamine,17.3,22.4,23.3,133.2,335.4,149.19,590.5,25.0,67.41,335.4,C(CO)N(CCO)CCO,"Trolamine;Sterolamide;2,2',2''-Nitrilotriethanol",81;13;136,,,True
67,235,112-27-6,Triethyleneglycol,16.0,12.5,18.6,114.0,285.0,150.17,47.8,20.0,61.04,-1.0,C(COCCOCCO)O,"Triglycol;2,2'-(Ethane-1,2-diylbis(oxy))diethanol",81;44,,,True
68,236,112-35-6,Triethylene glycol monooleyl ether,16.0,3.1,8.4,418.5,249.0,164.2,7.35,25.0,-1.0,-1.0,COCCOCCOCCO,Methyltrioxitol;m-PEG3-alcohol;2-(2-(2-Methoxyethoxy)ethoxy)ethanol,136,,,True
69,238,76-05-1,Trifluoroacetic acid,15.6,9.9,11.6,74.2,72.4,114.02,-1.0,-1.0,-1.0,-1.0,C(=O)(C(F)(F)F)O,Trifluoroethanoic acid;Perfluoroacetic acid,,,,True
70,241,77-68-9,"2,2,4-Trimethyl-1,3-pentanediol monoisobutyrate",15.1,6.1,9.8,227.4,255.0,216.32,-1.0,-1.0,-1.0,-1.0,CC(C)C(C(C)(C)COC(=O)C(C)C)O,"Texanol;3-Hydroxy-2,2,4-trimethylpentyl isobutyrate",243,,,True
71,243,7732-18-5,Water,15.5,16.0,42.3,18.0,100.0,18.015,0.8949,25.0,40.62,-1.0,O,,28;105;63;249;30;248;44;228;224;244;13;40;47;136;139;240;190;6;9;11;15;17;18;20;21;22;23;25;26;32;34;38;39;41;42;43;46;48;51;52;53;54;55;57;58;59;60;61;62;64;65;66;67;68;72;73;83;85;86;91;94;96;99;100;102;106;107;108;109;110;111;112;113;114;118;119;125;128;137;141;142;144;145;146;147;148;149;150;151;153;155;157;158;159;160;161;164;165;166;167;168;169;172;175;176;177;179;180;181;182;184;185;186;187;188;189;202;205;213;214;215;216;217;218;219;220;222;225;227;229;230;231;232;239;241;245,h2o,,True
72,246,75-65-0,t-Butyl Alcohol,15.2,5.1,14.7,96,82.3,74.12,-1.0,-1.0,39.07,-1.0,CC(C)(C)O,2-Methyl-2-propanol;2-Methylpropan-2-ol;tert-Butanol,,tbuoh,,True
